,Uniform,UniformRot,Full,"I[0,0]","I[0,1]","I[0,2]","I[1,0]","I[1,1]","I[1,2]","I[2,0]","I[2,1]","I[2,2]"
52,9,58,211,1,1,0,1,0,0,1,0,1
53,7,29,247,1,1,1,1,0,0,1,1,1
54,9,58,215,1,1,1,1,0,0,1,0,1
55,8,8,255,1,1,1,1,0,1,1,1,1
56,0,0,0,0,0,0,0,0,0,0,0,0
57,1,30,32,0,0,0,0,0,0,0,1,0
58,2,31,96,0,0,0,0,0,0,1,1,0
59,3,32,224,0,0,0,1,0,0,1,1,0
60,9,58,160,0,0,0,1,0,0,0,1,0
61,4,33,225,1,0,0,1,0,0,1,1,0
62,9,58,161,1,0,0,1,0,0,0,1,0
63,5,34,227,1,1,0,1,0,0,1,1,0
64,9,58,163,1,1,0,1,0,0,0,1,0
65,6,35,231,1,1,1,1,0,0,1,1,0
66,9,58,167,1,1,1,1,0,0,0,1,0
67,7,36,239,1,1,1,1,0,1,1,1,0
68,9,58,175,1,1,1,1,0,1,0,1,0
69,8,8,255,1,1,1,1,0,1,1,1,1
70,0,0,0,0,0,0,0,0,0,0,0,0
71,1,37,64,0,0,0,0,0,0,1,0,0
72,2,38,192,0,0,0,1,0,0,1,0,0
73,3,39,193,1,0,0,1,0,0,1,0,0
74,9,58,65,1,0,0,0,0,0,1,0,0
75,4,40,195,1,1,0,1,0,0,1,0,0
76,9,58,67,1,1,0,0,0,0,1,0,0
77,5,41,199,1,1,1,1,0,0,1,0,0
78,9,58,71,1,1,1,0,0,0,1,0,0
79,6,42,207,1,1,1,1,0,1,1,0,0
80,9,58,79,1,1,1,0,0,1,1,0,0
81,7,43,223,1,1,1,1,0,1,1,0,1
82,9,58,95,1,1,1,0,0,1,1,0,1
83,8,8,255,1,1,1,1,0,1,1,1,1
84,0,0,0,0,0,0,0,0,0,0,0,0
85,1,44,128,0,0,0,1,0,0,0,0,0
86,2,45,129,1,0,0,1,0,0,0,0,0
87,3,46,131,1,1,0,1,0,0,0,0,0
88,9,58,130,0,1,0,1,0,0,0,0,0
89,4,47,135,1,1,1,1,0,0,0,0,0
90,9,58,134,0,1,1,1,0,0,0,0,0
91,5,48,143,1,1,1,1,0,1,0,0,0
92,9,58,142,0,1,1,1,0,1,0,0,0
93,6,49,159,1,1,1,1,0,1,0,0,1
94,9,58,158,0,1,1,1,0,1,0,0,1
95,7,50,191,1,1,1,1,0,1,0,1,1
96,9,58,190,0,1,1,1,0,1,0,1,1
97,8,8,255,1,1,1,1,0,1,1,1,1
98,0,0,0,0,0,0,0,0,0,0,0,0
99,1,51,1,1,0,0,0,0,0,0,0,0
100,2,52,3,1,1,0,0,0,0,0,0,0
101,3,53,7,1,1,1,0,0,0,0,0,0
102,9,58,5,1,0,1,0,0,0,0,0,0
103,4,54,15,1,1,1,0,0,1,0,0,0
104,9,58,13,1,0,1,0,0,1,0,0,0
105,5,55,31,1,1,1,0,0,1,0,0,1
106,9,58,29,1,0,1,0,0,1,0,0,1
107,6,56,63,1,1,1,0,0,1,0,1,1
108,9,58,61,1,0,1,0,0,1,0,1,1
109,7,57,127,1,1,1,0,0,1,1,1,1
110,9,58,125,1,0,1,0,0,1,1,1,1
111,8,8,255,1,1,1,1,0,1,1,1,1
112,0,0,0,115,70,105,20,146,131,97,121,118
113,1,1,2,105,198,119,79,143,65,126,130,79
114,2,2,6,34,153,234,53,119,52,39,76,27
115,3,3,14,56,237,155,34,148,176,24,114,92
116,9,58,10,56,237,109,34,148,176,24,114,92
117,4,4,30,80,243,152,104,145,147,42,3,245
118,9,58,26,80,243,93,104,145,147,42,3,245
119,5,5,62,46,254,134,118,119,138,35,229,163
120,9,58,58,46,254,53,118,119,138,35,229,163
121,6,6,126,108,202,236,108,112,149,202,190,126
122,9,58,122,108,202,98,108,112,149,202,190,126
123,7,7,254,107,252,152,133,109,183,230,183,126
124,9,58,250,107,252,103,133,109,183,230,183,126
125,8,8,255,155,184,173,230,107,112,153,221,183
126,0,0,0,45,81,7,79,105,15,76,16,64
127,1,9,4,60,118,157,25,124,114,86,75,0
128,2,10,12,72,107,147,102,122,171,14,70,64
129,3,11,28,59,67,151,70,118,243,95,77,249
130,9,58,20,59,67,151,70,118,34,95,77,249
131,4,12,60,115,15,200,115,135,154,128,154,207
132,9,58,52,115,15,200,115,135,91,128,154,207
133,5,13,124,32,85,154,106,128,254,204,218,158
134,9,58,116,32,85,154,106,128,77,204,218,158
135,6,14,252,34,29,206,183,130,144,226,148,222
136,9,58,244,34,29,206,183,130,104,226,148,222
137,7,15,253,157,25,230,202,100,166,181,176,242
138,9,58,245,157,25,230,202,100,82,181,176,242
139,8,8,255,181,195,114,140,108,119,170,179,198
140,0,0,0,46,95,111,19,111,44,47,81,78
141,1,16,8,36,38,44,82,133,170,129,49,90
142,2,17,24,65,148,22,99,149,179,63,12,206
143,3,18,56,129,24,110,150,150,161,87,238,222
144,9,58,40,129,24,110,150,150,161,87,238,40
145,4,19,120,9,17,98,112,118,135,176,246,139
146,9,58,104,9,17,98,112,118,135,176,246,117
147,5,20,248,107,0,108,164,116,125,122,125,194
148,9,58,232,107,0,108,164,116,125,122,125,13
149,6,21,249,236,5,2,250,128,166,131,255,201
150,9,58,233,236,5,2,250,128,166,131,255,68
151,7,22,251,214,152,72,177,150,212,231,152,201
152,9,58,235,214,152,72,177,150,212,231,152,117
153,8,8,255,230,179,200,190,128,137,236,235,163
154,0,0,0,106,17,7,102,140,112,16,1,130
155,1,23,16,48,88,1,58,103,20,75,92,153
156,2,24,48,113,112,24,91,137,62,1,216,194
157,3,25,112,109,72,78,38,110,42,226,127,154
158,9,58,80,109,72,78,38,110,42,226,67,154
159,4,26,240,85,116,54,201,128,116,210,247,163
160,9,58,208,85,116,54,201,128,116,210,50,163
161,5,27,241,133,41,109,194,129,6,182,193,142
162,9,58,209,133,41,109,194,129,6,182,62,142
163,6,28,243,181,195,111,237,140,95,182,236,185
164,9,58,211,181,195,111,237,140,95,182,99,185
165,7,29,247,154,231,243,219,109,19,175,163,110
166,9,58,215,154,231,243,219,109,19,175,26,110
167,8,8,255,175,148,216,182,112,234,124,205,210
168,0,0,0,121,136,104,64,143,0,131,9,14
169,1,30,32,19,131,35,128,131,52,91,163,1
170,2,31,96,28,17,5,38,112,27,246,148,7
171,3,32,224,23,108,57,185,132,93,245,243,110
172,9,58,160,23,108,57,185,132,93,30,243,110
173,4,33,225,157,111,48,140,112,24,151,147,87
174,9,58,161,157,111,48,140,112,24,103,147,87
175,5,34,227,216,142,17,247,134,89,247,220,89
176,9,58,163,216,142,17,247,134,89,106,220,89
177,6,35,231,130,197,140,171,112,98,214,205,112
178,9,58,167,130,197,140,171,112,98,82,205,112
179,7,36,239,155,142,222,251,132,240,232,234,79
180,9,58,175,155,142,222,251,132,240,33,234,79
181,8,8,255,230,150,172,241,135,220,159,174,156
182,0,0,0,42,58,114,65,121,27,105,118,65
183,1,37,64,29,67,53,128,137,71,239,108,109
184,2,38,192,84,55,29,216,116,101,192,45,0
185,3,39,193,123,93,61,208,108,34,198,80,85
186,9,58,65,123,93,61,20,108,34,198,80,85
187,4,40,195,225,208,120,188,141,137,210,77,126
188,9,58,67,225,208,120,62,141,137,210,77,126
189,5,41,199,185,163,150,215,127,6,235,95,74
190,9,58,71,185,163,150,9,127,6,235,95,74
191,6,42,207,173,146,230,238,111,196,227,67,32
192,9,58,79,173,146,230,65,111,196,227,67,32
193,7,43,223,249,182,208,186,122,220,233,114,163
194,9,58,95,249,182,208,33,122,220,233,114,163
195,8,8,255,252,139,224,224,122,233,170,210,168
196,0,0,0,37,55,18,62,120,110,33,113,73
197,1,44,128,41,10,75,161,109,76,95,16,34
198,2,45,129,224,52,76,242,106,74,45,48,52
199,3,46,131,248,213,19,145,127,47,55,35,42
200,9,58,130,100,213,19,145,127,47,55,35,42
201,4,47,135,121,163,230,248,106,29,53,59,74
202,9,58,134,41,163,230,248,106,29,53,59,74
203,5,48,143,169,133,241,183,130,162,105,62,18
204,9,58,142,59,133,241,183,130,162,105,62,18
205,6,49,159,206,194,206,245,132,247,20,110,245
206,9,58,158,124,194,206,245,132,247,20,110,245
207,7,50,191,232,181,154,123,120,183,5,141,206
208,9,58,190,12,181,154,123,120,183,5,141,206
209,8,8,255,224,176,181,185,140,220,163,249,186
210,0,0,0,18,15,23,80,115,99,81,68,103
211,1,51,1,183,136,54,128,148,105,90,6,114
212,2,52,3,201,145,51,86,127,121,95,127,84
213,3,53,7,254,228,185,84,124,55,25,113,98
214,9,58,5,254,76,185,84,124,55,25,113,98
215,4,54,15,247,244,151,143,150,203,59,42,2
216,9,58,13,247,109,151,143,150,203,59,42,2
217,5,55,31,239,177,246,67,137,160,24,36,231
218,9,58,29,239,45,246,67,137,160,24,36,231
219,6,56,63,146,231,155,21,131,161,127,221,192
220,9,58,61,146,61,155,21,131,161,127,221,192
221,7,57,127,204,178,157,144,148,227,238,196,190
222,9,58,125,204,117,157,144,148,227,238,196,190
223,8,8,255,186,219,243,114,100,233,186,255,244
